brand,model
Geo,جیو
Geo,geobook
Geo,جیو بوک
Star labs[3],اسٹار لیبز [3]
Star labs[3],starlite
Star labs[3],starbook
Star labs[3],اسٹارلائٹ
Star labs[3], اسٹار بک
Getac,getac
Getac,b360
Getac,s410
Getac,f110
Getac,ux10
Getac,v110
Getac,b360
Getac, s410
Getac, f110
Getac, ux10
Getac, v110
Gigabyte,گیگا بائٹ
Gigabyte,aorus
Gigabyte,aero
Gigabyte,gaming
Gigabyte,اوروس
Gigabyte, ایرو
Gigabyte, گیمنگ
Google,گوگل
Google,chromebook pixel
Google,pixelbook
Google,pixelbook go
Google,کروم بوک پکسل
Google, پکسل بک
Google, پکسل بک گو
Hasee,ہیسی
Hasee,z-series
Hasee,زیڈ سیریز
Honor,magicbook
Honor,میجک بوک
Huawei,huawei
Huawei,ہواوے
Huawei,matebook
Huawei,میٹ بک
Huawei,ہوآوی لیپ ٹاپ
Huawei,ہوآوی
Hyundai technology,ہنڈئ ٹکنالوجی
Hyundai technology,hyundai technology flip
Hyundai technology,hyundai technology book
Hyundai technology,hyundai technology flipnote
Hyundai technology,hyundai technology thinnote
Lava international,لاوا انٹرنیشنل
Lava international,twinpad
Lava international,helium series
Lava international,ٹوئن پیڈ
Lava international, ہیلیم سیریز
LG,lg
LG,gram
LG,xnote
LG,گرام
LG, xnote
Machenike,میکنک
Machenike,machcreator
Machenike,t58
Machenike,مچکریٹر
Machenike, t58
Malibal,مالبل
Malibal,aon
Maguay [ro],مگویے [رو]
Maguay [ro],myway
Maguay [ro],gamepower
Maguay [ro],officepower
Maguay [ro],expertstation
Maguay [ro],powerstation
Maguay [ro],mini-server
Medion,میڈین
Medion,akoya
Medion,اکویا
Msi,msi bravo
Msi,msi katana
Msi,megabookmsi
Msi,msi alpha
Msi,msi modern
Microsoft,مائیکرو سافٹ
Microsoft,microsoft surface
Microtech[4],مائکروٹیک [4]
Microtech[4],microtech corebook
Microtech[4],e-book lite
Monster notebook [tr],مونسٹر نوٹ بک [tr]
Monster notebook [tr],monster abra
Monster notebook [tr],monster tulpar
Monster notebook [tr],monster huma
Monster notebook [tr],monster semruk
Monster notebook [tr],monster markut
monster multilaser,ملٹی لیزر
monster multilaser,ultra[5]
NEC,nec
NEC,lavie
NEC,prospeed
NEC,ultralite
NEC,versa
NEC,versapro
Njoy (brand by dai-tech [ro]),njoy (برانڈ از ڈائی ٹیک [ro])
Njoy (brand by dai-tech [ro]),aerial
Njoy (brand by dai-tech [ro]),ediam
Nokia,nokia
Nokia,نوکیا
Nokia,purebook
Obsidian-pc,obsidian-pc
Obsidian-pc,pc50
Optima,اوپٹیما
Optima,optimbook
Optima,optimbook pro
Optima,optima notebook
Optima,optima notebook pro
Optima,mecipt
Optima,mecipt pro
Optima,dacicc
Optima,dacicc pro
Origin pc,evo15-s
Origin pc,evo17-s
Origin pc,evo17-x
Origin pc,nt-15i
Origin pc,nt-15
Origin pc,nt-17
Overpowered,gaming laptop 15
Overpowered,gaming laptop 15+
Overpowered,gaming laptop 17+
Overpowered,گیمنگ لیپ ٹاپ 15
Overpowered, گیمنگ لیپ ٹاپ 15+
Overpowered, گیمنگ لیپ ٹاپ 17+
Panasonic,پیناسونک
Panasonic,toughbook
Panasonic,toughpad
Panasonic,let's note
Panasonic, ٹف پیڈ
Panasonic, آئیے نوٹ کریں
Packard bell,پیکارڈ بیل
Packard bell,statesman
Positivo,پوزیٹیو
Purism,purism
Purism,librem
Purism,لیبرم
Razer,razer
Razer,راجر
Razer,blade
Razer,بلیڈ
Realme,realme
Realme,ریل می
Realme,realmebook
Realme,ریئل بک
Sager notebook computers[6] (exports clevo),سیگر نوٹ بک کمپیوٹرز [6] (برآمدات کلیوو)
Sager notebook computers[6] (exports clevo),np series
Sager notebook computers[6] (exports clevo),این پی سیریز
Samsung,سامسونگ
Samsung,samsung
Samsung,سیمسنگ
Samsung,ativ
Samsung,sens
Samsung,galaxy book
Samsung,اٹیو
Samsung, سینس
Samsung, گلیکسی کتاب
Slimbook[7],سلیم بک [7]
Slimbook[7],essential 15
Slimbook[7],pro x
Slimbook[7],kde slimbook
Shenzhen jumper technology[8],شینزین جمپر ٹکنالوجی [8]
Shenzhen jumper technology[8],ezpad go
Shenzhen jumper technology[8],ezpad
Shenzhen jumper technology[8],ezbook
Shenzhen jumper technology[8],ایز پیڈ گو
Shenzhen jumper technology[8], ایز پیڈ
Shenzhen jumper technology[8], ایز بوک
System76,سسٹم 76
System76,galago pro
System76,oryx pro
System76,pangolin
System76,lemur pro
System76,gazelle
System76,darter pro
System76,kudu pro
System76,serval ws
System76,bonobo ws
System76,adder ws
Tsinghua tongfang,tsinghua tongfang
Tsinghua tongfang,x-series
Tsinghua tongfang,ایکس سیریز
Umax,umax
Umax,visionbook
Umax,ویژن بک
Vaio,vaio
Vaio,z series
Vaio,f series
Vaio,s series
Vaio,sx series[9]
Vaio,زیڈ سیریز
Vaio, ایف سیریز
Vaio, ایس سیریز
Vaio, ایس ایکس سیریز [9]
Vastking,واسٹکنگ
Vastking,kingpad
Vastking,kingbook
Vastking,کنگ پیڈ
Vastking, کنگ بک
Velocity micro,signature 17
Velocity micro,raptor s77
Velocity micro,raptor mx70
Velocity micro, ریپٹر ایس 77
Velocity micro, ریپٹر ایم ایکس 70
Vit,p1420
Vit,p3310-01
Vit,p3310-02
Vit,p1420
Vit, p3310-01
Vit, p3310-02
Walmart,والمارٹ
Walmart,motile
Walmart,موہیل
Walton,والٹن
Walton,prelude
Walton,passion
Walton,tamarind
Walton,karonda
Walton,waxjambu
Xiaomi,xiaomi book ultra
Xiaomi,xiaomi
Xiaomi,ژیومی
Xiaomi,mi notebook
Xiaomi,redmibook
Xiaomi,ایم آئی نوٹ بک
Xiaomi, ریڈ می بوک
Xmg (schenker technologies [de]),xmg (شینکر ٹیکنالوجیز [de])
Xmg (schenker technologies [de]),apex
Xmg (schenker technologies [de]),xmg core
Xmg (schenker technologies [de]),dj 15
Xmg (schenker technologies [de]),xmg focus
Xmg (schenker technologies [de]),neo series
Xmg (schenker technologies [de]),xmg pro series
Tuxedo computers[10],ٹکسڈو کمپیوٹرز [10]
Tuxedo computers[10],aura 15 - gen 1
Tuxedo computers[10],book xp14
Tuxedo computers[10],polaris 17
Tuxedo computers[10],اورا 15 - جنرل 1
Tuxedo computers[10], بک xp14
Tuxedo computers[10], پولارس 17
Xolo,زولو
Zeuslap,زیوسلاپ
Zyrex,زائریکس
Zyrex,ryzen
Zyrex,sky
Zyrex,cruiser
Zyrex,confidante
Zyrex,chromebook
Zyrex, کروم بک
Benq,بینق
Benq,joybook
Benq,جوی بوک
Epson,ایپسن
Epson,actionnote
Epson,hx-20
Epson,px-4
Epson,px-8 geneva
Epson,endeavor
Epson,ایکشن نوٹ
Grundig,گرونڈگ
HCL,hcl
HCL,hcl me
HTC,htc
HTC,htc shift
HTC,htc شفٹ
IBM,ibm
IBM,convertible
IBM,pcradio
IBM,ibm thinkpad
IBM, pcradio
Olivetti,اولیویٹی
Olivetti,olibook
Olivetti,اولیبوک
Onkyo,اونکیو
Onkyo,sotec
Onkyo,سوٹیک
Philips,فلپس
Philips,x200
Philips,x200
Sony,سونی
Sony,vaio
Sony,vaio
amd radeon,rx 6650m
amd radeon,rx
Toshiba,ٹوشیبا پورٹیج X30T
Toshiba,ٹوشیبا X30T
Toshiba,toshiba
Toshiba,توشیبا
Toshiba,dynabook
Toshiba,libretto
Toshiba,portege
Toshiba,satellite
Toshiba,tecra
Toshiba,qosmio
Toshiba,ڈائنبوک
Toshiba, لبریٹو
Toshiba, پورٹیج
vestel,ویسٹل
OnePlus,OnePlus
OnePlus,oneplus pad
